FIPS,State,County,Years of Potential Life Lost Rate,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,% Fair or Poor Health,Injury Death Rate,Primary Care Physicians Rate,% Uninsured,% Unemployed,Income Ratio,% Children in Poverty,Median Household Income,Life Expectancy,Drug Overdose Mortality Rate,Firearm Fatalities Rate,Homicide Rate,High School Graduation Rate,% Adults with Obesity,% Adults Reporting Currently Smoking,% Rural,Population
09120,Connecticut,Greater Bridgeport,,3.9,5.1,17.0,,,8.0,,6.2,14.0,92858.0,,36.0,6.0,5.0,,29.0,13.0,2.9,327651.0
09130,Connecticut,Lower Connecticut River Valley,,3.7,5.3,12.0,,,4.0,,4.4,8.0,99807.0,,30.0,6.0,1.0,,31.0,12.0,31.3,176215.0
09140,Connecticut,Naugatuck Valley,,4.2,5.5,16.0,,,6.0,,4.9,17.0,81392.0,,52.0,7.0,4.0,,31.0,14.0,9.2,456128.0
09150,Connecticut,Northeastern Connecticut,,4.4,5.8,15.0,,,5.0,,3.7,11.0,88129.0,,30.0,6.0,,,33.0,15.0,62.4,96692.0
09160,Connecticut,Northwest Hills,,3.9,5.5,14.0,,,6.0,,4.4,10.0,91206.0,,39.0,6.0,,,31.0,13.0,60.0,113463.0
09170,Connecticut,South Central Connecticut,,4.2,5.5,16.0,,,6.0,,5.3,17.0,80953.0,,51.0,7.0,4.0,,32.0,13.0,3.6,568158.0
09180,Connecticut,Southeastern Connecticut,,4.3,5.5,16.0,,,6.0,,4.7,17.0,82733.0,,52.0,5.0,2.0,,33.0,14.0,26.1,279634.0
09190,Connecticut,Western Connecticut,,3.4,4.7,13.0,,,7.0,,,9.0,121285.0,,17.0,3.0,2.0,,27.0,10.0,8.5,623907.0
13001,Georgia,Appling,14664.0,5.4,6.1,22.0,91.0,43.0,19.0,3.4,5.0,34.0,51054.0,71.5,20.0,11.0,,92.0,41.0,19.0,71.0,18457.0
13003,Georgia,Atkinson,15714.0,6.0,6.1,28.0,113.0,,21.0,3.1,3.3,34.0,44890.0,69.1,,,,98.0,42.0,20.0,100.0,8293.0
13005,Georgia,Bacon,16179.0,5.2,6.2,24.0,93.0,45.0,17.0,2.9,5.3,31.0,48915.0,69.5,30.0,18.0,,93.0,41.0,22.0,100.0,11124.0
13007,Georgia,Baker,17337.0,5.2,5.9,24.0,109.0,,11.0,3.8,9.1,39.0,47850.0,71.8,,,,,42.0,17.0,100.0,2743.0
13009,Georgia,Baldwin,12279.0,4.6,5.7,22.0,75.0,43.0,15.0,4.2,5.5,29.0,51206.0,72.7,15.0,20.0,15.0,88.0,40.0,18.0,48.8,43396.0
13011,Georgia,Banks,10880.0,4.7,5.7,23.0,94.0,16.0,18.0,2.2,5.0,17.0,70067.0,73.9,30.0,17.0,,84.0,37.0,22.0,95.6,19789.0
13013,Georgia,Barrow,9299.0,4.2,5.6,18.0,86.0,22.0,16.0,2.8,3.6,16.0,72075.0,74.9,28.0,17.0,6.0,89.0,40.0,14.0,33.0,92792.0
13015,Georgia,Bartow,10527.0,4.5,5.4,19.0,91.0,37.0,16.0,3.1,4.0,13.0,78771.0,73.9,37.0,17.0,5.0,93.0,38.0,15.0,39.4,115041.0
13017,Georgia,Ben Hill,15005.0,5.5,6.1,28.0,106.0,47.0,15.0,4.3,5.7,35.0,40325.0,69.7,20.0,20.0,9.0,83.0,42.0,23.0,34.4,17128.0
13019,Georgia,Berrien,14035.0,5.2,5.9,23.0,106.0,22.0,15.0,3.7,5.9,28.0,50581.0,71.2,36.0,17.0,8.0,83.0,39.0,20.0,73.3,18570.0
13021,Georgia,Bibb,14812.0,4.9,5.9,23.0,105.0,140.0,16.0,4.0,6.5,32.0,51569.0,70.6,18.0,35.0,24.0,82.0,49.0,18.0,14.1,156512.0
13023,Georgia,Bleckley,12846.0,4.8,5.8,20.0,82.0,24.0,12.0,4.2,6.0,27.0,58877.0,72.2,,16.0,,98.0,42.0,17.0,51.1,12465.0
13025,Georgia,Brantley,14472.0,5.4,6.2,22.0,97.0,17.0,18.0,3.5,6.0,26.0,57325.0,71.5,36.0,19.0,,89.0,39.0,21.0,99.3,18401.0
13027,Georgia,Brooks,10488.0,5.4,6.2,27.0,96.0,18.0,15.0,3.4,5.4,36.0,46796.0,73.9,,22.0,,98.0,42.0,21.0,100.0,16245.0
13029,Georgia,Bryan,9532.0,3.8,5.2,15.0,82.0,55.0,11.0,2.6,3.4,9.0,97746.0,74.9,19.0,22.0,5.0,93.0,37.0,14.0,46.8,49739.0
13031,Georgia,Bulloch,9168.0,4.6,5.4,19.0,59.0,56.0,14.0,3.4,5.0,23.0,54787.0,75.3,9.0,14.0,6.0,85.0,39.0,16.0,45.1,84327.0
13033,Georgia,Burke,12349.0,4.9,5.9,23.0,97.0,33.0,12.0,5.5,6.3,31.0,51388.0,73.0,20.0,21.0,14.0,85.0,45.0,19.0,75.2,24438.0
13035,Georgia,Butts,12208.0,4.7,5.7,21.0,121.0,27.0,14.0,2.9,4.5,20.0,59622.0,71.9,32.0,23.0,10.0,93.0,40.0,19.0,77.6,26887.0
13037,Georgia,Calhoun,11948.0,5.3,5.7,31.0,61.0,18.0,15.0,2.8,5.6,40.0,41260.0,73.6,,,,,47.0,24.0,100.0,5457.0
13039,Georgia,Camden,8626.0,4.5,5.5,20.0,68.0,27.0,12.0,3.0,4.2,14.0,72185.0,76.5,25.0,18.0,3.0,94.0,38.0,18.0,29.6,58118.0
13043,Georgia,Candler,18173.0,5.4,6.1,27.0,113.0,18.0,20.0,2.5,5.2,31.0,49332.0,67.8,,26.0,,,44.0,22.0,100.0,11059.0
13045,Georgia,Carroll,11392.0,4.7,5.7,18.0,94.0,51.0,14.0,3.3,4.6,18.0,71083.0,73.0,36.0,15.0,4.0,93.0,37.0,15.0,54.4,127098.0
13047,Georgia,Catoosa,9551.0,4.2,5.6,16.0,74.0,57.0,12.0,2.7,3.9,15.0,70315.0,75.3,30.0,16.0,2.0,89.0,37.0,14.0,23.7,68910.0
13049,Georgia,Charlton,11365.0,5.1,5.7,25.0,92.0,23.0,16.0,3.1,5.2,29.0,52191.0,73.5,,24.0,11.0,98.0,42.0,21.0,100.0,12934.0
13051,Georgia,Chatham,10235.0,3.8,5.0,17.0,83.0,93.0,14.0,2.9,4.5,22.0,70556.0,75.6,26.0,20.0,13.0,88.0,36.0,14.0,3.0,303655.0
13053,Georgia,Chattahoochee,9997.0,4.9,5.6,23.0,68.0,166.0,8.0,4.5,3.6,17.0,57550.0,75.4,,,,98.0,43.0,18.0,40.1,8661.0
13055,Georgia,Chattooga,14488.0,5.4,6.4,24.0,117.0,8.0,17.0,3.7,4.1,29.0,51225.0,70.6,35.0,19.0,7.0,94.0,39.0,21.0,59.0,25222.0
13057,Georgia,Cherokee,5753.0,3.9,5.0,16.0,60.0,41.0,13.0,2.6,3.7,7.0,104220.0,79.4,20.0,11.0,3.0,92.0,35.0,13.0,18.3,286602.0
13059,Georgia,Clarke,8073.0,4.7,6.1,21.0,59.0,82.0,15.0,3.3,5.7,25.0,54550.0,77.3,21.0,13.0,5.0,32.0,37.0,15.0,5.9,129933.0
13061,Georgia,Clay,16381.0,5.1,6.0,23.0,119.0,35.0,14.0,7.8,3.6,39.0,37858.0,72.6,,,,,45.0,17.0,100.0,2853.0
13063,Georgia,Clayton,11266.0,4.8,5.9,25.0,78.0,25.0,15.0,4.1,4.0,27.0,57974.0,73.8,18.0,25.0,18.0,78.0,45.0,18.0,0.5,298300.0
13065,Georgia,Clinch,14491.0,5.9,6.4,28.0,93.0,15.0,18.0,2.8,6.2,28.0,45718.0,69.8,,,,88.0,45.0,23.0,100.0,6746.0
13067,Georgia,Cobb,6458.0,3.5,5.0,13.0,63.0,78.0,13.0,2.8,4.3,12.0,99134.0,79.1,23.0,11.0,5.0,87.0,29.0,10.0,0.0,776743.0
13069,Georgia,Coffee,12805.0,5.2,5.8,24.0,91.0,53.0,19.0,3.6,5.2,30.0,49804.0,71.6,12.0,21.0,11.0,93.0,41.0,21.0,66.9,43317.0
13071,Georgia,Colquitt,13173.0,5.2,5.9,27.0,92.0,37.0,20.0,2.8,5.8,35.0,47821.0,71.6,14.0,18.0,10.0,87.0,40.0,22.0,58.1,46167.0
13073,Georgia,Columbia,7070.0,3.8,5.1,17.0,62.0,105.0,10.0,3.0,3.9,8.0,97031.0,78.4,21.0,13.0,3.0,90.0,36.0,15.0,14.9,165162.0
13075,Georgia,Cook,13071.0,5.3,5.9,25.0,98.0,52.0,17.0,3.2,5.3,29.0,50258.0,71.8,,24.0,11.0,98.0,41.0,20.0,59.2,17714.0
13077,Georgia,Coweta,8324.0,4.0,5.4,16.0,68.0,45.0,11.0,2.9,3.9,12.0,93326.0,76.4,18.0,17.0,5.0,90.0,44.0,14.0,44.9,155892.0
13079,Georgia,Crawford,13688.0,4.8,5.7,20.0,113.0,16.0,16.0,3.2,4.8,25.0,61519.0,71.7,,23.0,,83.0,41.0,19.0,100.0,12277.0
13081,Georgia,Crisp,16331.0,5.3,6.1,23.0,99.0,70.0,14.0,3.7,6.0,40.0,43174.0,70.1,26.0,26.0,15.0,83.0,45.0,19.0,45.7,19631.0
13083,Georgia,Dade,11895.0,4.4,5.8,17.0,75.0,31.0,14.0,2.6,4.1,16.0,58644.0,73.0,35.0,,,93.0,36.0,16.0,94.6,16165.0
13085,Georgia,Dawson,8319.0,4.0,5.1,15.0,92.0,67.0,14.0,2.6,3.8,12.0,89330.0,76.9,24.0,21.0,,93.0,35.0,12.0,69.4,31732.0
13087,Georgia,Decatur,14703.0,5.3,6.1,24.0,92.0,34.0,14.0,3.4,6.0,31.0,50452.0,71.0,20.0,24.0,13.0,90.0,40.0,18.0,52.8,29087.0
13089,Georgia,DeKalb,8477.0,3.8,5.3,18.0,74.0,106.0,14.0,3.3,5.0,18.0,77722.0,78.2,19.0,23.0,16.0,76.0,34.0,13.0,0.2,762992.0
13091,Georgia,Dodge,13999.0,4.9,5.8,21.0,106.0,30.0,14.0,3.8,5.5,30.0,46462.0,71.3,33.0,24.0,11.0,88.0,45.0,18.0,68.8,19776.0
13093,Georgia,Dooly,13389.0,4.9,5.8,24.0,83.0,9.0,15.0,3.8,5.2,32.0,50396.0,73.2,,24.0,12.0,88.0,44.0,19.0,100.0,10981.0
13095,Georgia,Dougherty,15702.0,4.9,5.9,26.0,94.0,78.0,16.0,4.3,5.5,37.0,45863.0,70.3,29.0,25.0,19.0,87.0,44.0,19.0,14.4,82645.0
13097,Georgia,Douglas,8876.0,4.1,5.4,20.0,67.0,43.0,14.0,3.4,3.8,18.0,79672.0,75.6,19.0,16.0,7.0,88.0,43.0,15.0,15.5,149160.0
13099,Georgia,Early,16356.0,5.2,5.9,25.0,103.0,47.0,14.0,3.9,5.2,38.0,43444.0,69.7,,21.0,,88.0,45.0,21.0,100.0,10563.0
13101,Georgia,Echols,7911.0,4.7,5.6,22.0,57.0,,19.0,2.8,4.6,32.0,50311.0,76.8,,,,,42.0,18.0,100.0,3709.0
13103,Georgia,Effingham,9467.0,4.2,5.4,16.0,70.0,22.0,11.0,2.6,3.5,10.0,83900.0,74.9,20.0,15.0,6.0,92.0,39.0,15.0,74.2,71541.0
13105,Georgia,Elbert,14106.0,4.8,5.8,23.0,82.0,41.0,18.0,3.6,5.2,27.0,50367.0,71.1,27.0,,,88.0,42.0,20.0,71.0,20013.0
13107,Georgia,Emanuel,13933.0,5.1,6.2,26.0,83.0,40.0,17.0,4.2,4.7,34.0,46017.0,70.1,15.0,13.0,9.0,83.0,43.0,22.0,68.2,23119.0
13109,Georgia,Evans,14703.0,5.2,6.2,27.0,90.0,37.0,18.0,2.9,4.6,35.0,50831.0,70.7,,19.0,,93.0,45.0,22.0,100.0,10754.0
13111,Georgia,Fannin,12245.0,4.7,5.9,20.0,131.0,62.0,18.0,2.8,4.0,23.0,60037.0,74.1,35.0,25.0,,93.0,39.0,20.0,100.0,25955.0
13113,Georgia,Fayette,6478.0,3.4,4.9,13.0,60.0,112.0,10.0,3.0,3.9,8.0,108579.0,79.5,13.0,14.0,5.0,90.0,31.0,11.0,18.1,123351.0
13115,Georgia,Floyd,11716.0,4.6,5.9,23.0,91.0,135.0,16.0,3.2,5.0,26.0,61058.0,72.6,29.0,17.0,6.0,92.0,40.0,19.0,38.7,100113.0
13117,Georgia,Forsyth,4425.0,3.3,4.3,12.0,43.0,40.0,8.0,2.5,3.6,5.0,136347.0,81.0,14.0,7.0,1.0,96.0,31.0,10.0,7.7,272887.0
13119,Georgia,Franklin,12333.0,5.0,6.0,22.0,115.0,34.0,17.0,3.2,5.8,24.0,53221.0,72.1,28.0,22.0,9.0,90.0,37.0,19.0,100.0,24782.0
13121,Georgia,Fulton,8075.0,3.6,4.8,14.0,76.0,112.0,11.0,3.4,5.9,17.0,94510.0,77.5,24.0,20.0,15.0,87.0,30.0,11.0,0.6,1079105.0
13123,Georgia,Gilmer,10784.0,4.3,5.4,17.0,103.0,44.0,17.0,3.1,4.7,21.0,62317.0,75.4,31.0,26.0,,94.0,37.0,15.0,78.5,32860.0
13125,Georgia,Glascock,11756.0,4.8,5.9,20.0,182.0,34.0,12.0,3.4,4.2,20.0,54862.0,71.8,,,,,37.0,18.0,100.0,2954.0
13127,Georgia,Glynn,11817.0,4.4,5.8,17.0,89.0,52.0,16.0,2.8,4.8,22.0,70067.0,74.7,34.0,15.0,8.0,52.0,36.0,14.0,18.6,86172.0
13129,Georgia,Gordon,11132.0,5.0,5.8,24.0,80.0,46.0,20.0,3.0,4.6,17.0,64795.0,73.1,19.0,17.0,4.0,97.0,40.0,20.0,59.9,59757.0
13131,Georgia,Grady,11368.0,5.0,6.0,24.0,95.0,46.0,18.0,3.1,4.8,28.0,52456.0,74.2,,21.0,10.0,89.0,42.0,19.0,60.6,26066.0
13133,Georgia,Greene,11079.0,4.2,5.3,18.0,91.0,56.0,14.0,3.3,5.4,26.0,79890.0,76.1,,16.0,,88.0,39.0,15.0,100.0,20722.0
13135,Georgia,Gwinnett,6209.0,3.9,4.9,17.0,50.0,66.0,15.0,2.9,4.1,15.0,84076.0,79.3,16.0,12.0,5.0,82.0,33.0,12.0,0.5,983526.0
13137,Georgia,Habersham,9824.0,4.7,5.7,22.0,85.0,47.0,18.0,3.1,4.7,17.0,71753.0,74.8,27.0,14.0,4.0,97.0,37.0,18.0,59.3,48757.0
13139,Georgia,Hall,8170.0,4.3,5.5,21.0,75.0,60.0,19.0,2.4,4.3,14.0,78309.0,77.2,24.0,12.0,5.0,86.0,35.0,17.0,25.9,217267.0
13141,Georgia,Hancock,15832.0,5.3,5.7,28.0,118.0,12.0,14.0,5.5,5.5,44.0,40099.0,70.7,,,,,48.0,22.0,100.0,8676.0
13143,Georgia,Haralson,12727.0,4.5,6.0,18.0,117.0,43.0,14.0,3.2,5.4,23.0,59384.0,71.2,35.0,23.0,9.0,97.0,34.0,19.0,75.7,32038.0
13145,Georgia,Harris,7326.0,3.8,5.2,16.0,82.0,28.0,9.0,2.8,3.7,11.0,91977.0,78.8,18.0,15.0,,91.0,33.0,15.0,97.2,36654.0
13147,Georgia,Hart,11167.0,4.7,5.6,19.0,92.0,42.0,15.0,2.9,4.7,21.0,53100.0,74.2,31.0,14.0,,97.0,36.0,17.0,76.9,27556.0
13149,Georgia,Heard,14528.0,4.8,5.8,21.0,147.0,17.0,15.0,3.1,4.9,24.0,57670.0,71.2,34.0,27.0,,98.0,41.0,20.0,100.0,12034.0
13151,Georgia,Henry,9126.0,3.9,5.2,17.0,73.0,49.0,10.0,3.5,3.4,16.0,80908.0,75.3,18.0,21.0,10.0,87.0,39.0,13.0,18.8,254613.0
13153,Georgia,Houston,9565.0,4.2,5.4,17.0,69.0,53.0,11.0,2.9,4.2,18.0,75266.0,75.0,18.0,19.0,6.0,89.0,39.0,14.0,9.0,171974.0
13155,Georgia,Irwin,12087.0,5.2,6.0,23.0,111.0,31.0,15.0,3.9,4.0,30.0,52918.0,71.7,,21.0,,93.0,40.0,19.0,100.0,9120.0
13157,Georgia,Jackson,9049.0,4.4,5.6,19.0,74.0,56.0,14.0,2.1,3.8,10.0,84439.0,75.1,21.0,17.0,3.0,95.0,42.0,17.0,62.8,88615.0
13159,Georgia,Jasper,11123.0,4.6,5.7,21.0,91.0,33.0,14.0,2.9,4.4,21.0,67681.0,73.8,,28.0,,93.0,40.0,19.0,100.0,16455.0
13161,Georgia,Jeff Davis,13865.0,5.4,6.0,27.0,100.0,7.0,18.0,4.3,5.9,28.0,47635.0,70.7,,17.0,,98.0,41.0,23.0,66.7,14906.0
13163,Georgia,Jefferson,15667.0,5.2,5.9,29.0,105.0,13.0,19.0,4.0,4.8,33.0,45829.0,68.8,,21.0,10.0,93.0,44.0,23.0,100.0,15183.0
13165,Georgia,Jenkins,12473.0,5.8,6.1,29.0,99.0,35.0,15.0,5.0,6.1,36.0,42539.0,71.8,,,,83.0,45.0,23.0,100.0,8627.0
13167,Georgia,Johnson,13597.0,5.4,5.8,28.0,84.0,55.0,17.0,2.9,4.8,32.0,51602.0,71.8,,23.0,15.0,83.0,43.0,23.0,100.0,9282.0
13169,Georgia,Jones,9119.0,4.3,5.7,20.0,80.0,25.0,12.0,3.1,4.3,18.0,65524.0,75.6,22.0,21.0,5.0,90.0,40.0,18.0,83.4,28969.0
13171,Georgia,Lamar,12813.0,4.5,5.9,21.0,81.0,26.0,13.0,3.4,4.1,20.0,63622.0,71.9,24.0,19.0,,85.0,42.0,18.0,63.1,20401.0
13173,Georgia,Lanier,9926.0,5.4,6.1,27.0,66.0,,14.0,3.8,5.6,27.0,54586.0,74.6,,,,93.0,41.0,21.0,100.0,10452.0
13175,Georgia,Laurens,14998.0,4.8,5.4,23.0,99.0,85.0,14.0,4.1,6.6,29.0,56867.0,70.8,24.0,27.0,14.0,90.0,42.0,20.0,58.0,49941.0
13177,Georgia,Lee,8773.0,3.9,5.3,17.0,76.0,51.0,12.0,2.8,3.6,14.0,80806.0,75.1,16.0,22.0,5.0,91.0,37.0,15.0,62.4,33872.0
13179,Georgia,Liberty,12510.0,4.4,5.4,22.0,79.0,40.0,12.0,3.3,3.6,22.0,57699.0,72.9,21.0,23.0,10.0,90.0,46.0,17.0,23.5,69210.0
13181,Georgia,Lincoln,11825.0,4.7,5.8,20.0,73.0,26.0,20.0,3.8,4.5,23.0,58502.0,74.7,,,,93.0,38.0,17.0,100.0,7879.0
13183,Georgia,Long,10346.0,4.8,5.7,22.0,58.0,6.0,16.0,3.2,4.1,21.0,63146.0,75.7,,14.0,,96.0,41.0,18.0,80.2,19594.0
13185,Georgia,Lowndes,11342.0,4.6,5.5,22.0,64.0,56.0,14.0,3.5,5.2,23.0,54984.0,73.5,9.0,17.0,9.0,95.0,40.0,18.0,35.1,120712.0
13187,Georgia,Lumpkin,9956.0,4.5,5.7,18.0,98.0,32.0,16.0,2.7,5.0,18.0,72676.0,75.3,31.0,26.0,5.0,100.0,35.0,16.0,80.6,35258.0
13189,Georgia,McDuffie,13503.0,5.0,5.9,22.0,103.0,51.0,13.0,4.9,4.8,30.0,53389.0,71.9,36.0,27.0,17.0,86.0,44.0,17.0,59.4,21799.0
13191,Georgia,McIntosh,13809.0,5.0,6.0,22.0,121.0,,17.0,3.0,5.0,32.0,56573.0,74.3,27.0,26.0,11.0,98.0,42.0,18.0,100.0,11501.0
13193,Georgia,Macon,12938.0,5.6,6.0,33.0,88.0,8.0,19.0,4.2,6.2,42.0,41895.0,71.9,,,19.0,88.0,48.0,26.0,100.0,11817.0
13195,Georgia,Madison,10545.0,4.9,5.8,22.0,114.0,19.0,18.0,2.9,4.0,17.0,65296.0,74.2,44.0,19.0,,95.0,39.0,19.0,90.7,32191.0
13197,Georgia,Marion,12488.0,5.1,6.1,25.0,105.0,,18.0,3.6,4.3,40.0,51270.0,73.4,,,,88.0,40.0,20.0,100.0,7440.0
13199,Georgia,Meriwether,15063.0,4.9,5.8,23.0,115.0,29.0,17.0,3.9,4.7,28.0,54428.0,70.8,21.0,33.0,15.0,83.0,41.0,20.0,100.0,20931.0
13201,Georgia,Miller,22799.0,5.1,6.1,25.0,132.0,51.0,14.0,2.7,6.5,31.0,50799.0,67.3,,,,,42.0,22.0,100.0,5747.0
13205,Georgia,Mitchell,12435.0,5.3,5.8,27.0,86.0,46.0,14.0,3.7,5.9,34.0,48774.0,72.4,,21.0,10.0,87.0,47.0,22.0,75.8,21114.0
13207,Georgia,Monroe,10716.0,4.3,5.4,19.0,105.0,52.0,12.0,2.9,4.0,16.0,80692.0,74.5,27.0,28.0,8.0,93.0,38.0,17.0,81.8,30625.0
13209,Georgia,Montgomery,13468.0,5.0,5.7,25.0,103.0,,14.0,3.9,4.4,29.0,53248.0,71.4,,22.0,,98.0,43.0,22.0,98.7,8761.0
13211,Georgia,Morgan,9731.0,4.0,5.1,15.0,92.0,39.0,13.0,2.8,4.2,16.0,69090.0,75.8,,16.0,8.0,96.0,36.0,14.0,76.6,21460.0
13213,Georgia,Murray,12065.0,5.0,6.1,22.0,78.0,15.0,18.0,4.1,3.9,20.0,63836.0,72.5,22.0,12.0,,92.0,38.0,18.0,68.0,41035.0
13215,Georgia,Muscogee,13164.0,4.7,5.7,23.0,103.0,104.0,12.0,4.2,4.9,26.0,52492.0,72.0,19.0,31.0,21.0,92.0,42.0,17.0,3.8,201877.0
13217,Georgia,Newton,10380.0,4.4,5.8,20.0,80.0,23.0,13.0,3.8,4.2,18.0,76151.0,74.1,20.0,22.0,12.0,90.0,42.0,17.0,34.0,120135.0
13219,Georgia,Oconee,5599.0,3.2,4.8,13.0,58.0,114.0,7.0,2.4,4.0,7.0,114230.0,79.8,13.0,12.0,,98.0,33.0,12.0,54.1,44182.0
13221,Georgia,Oglethorpe,9362.0,4.4,5.8,20.0,96.0,7.0,16.0,2.8,4.8,20.0,67249.0,76.0,30.0,20.0,,93.0,36.0,17.0,100.0,15754.0
13223,Georgia,Paulding,7728.0,4.1,5.5,18.0,70.0,14.0,11.0,2.9,3.1,11.0,93773.0,76.9,27.0,16.0,6.0,90.0,39.0,15.0,20.5,183164.0
13225,Georgia,Peach,13589.0,4.5,5.5,21.0,102.0,21.0,15.0,3.8,5.5,25.0,68464.0,71.4,28.0,19.0,10.0,82.0,43.0,18.0,40.0,28805.0
13227,Georgia,Pickens,10079.0,4.6,5.7,16.0,88.0,44.0,16.0,2.7,4.4,16.0,78032.0,75.1,35.0,22.0,,92.0,37.0,14.0,80.8,35969.0
13229,Georgia,Pierce,13350.0,4.9,6.0,20.0,103.0,25.0,16.0,3.1,4.7,22.0,56330.0,71.1,30.0,15.0,,94.0,40.0,17.0,98.7,20425.0
13231,Georgia,Pike,11051.0,4.2,5.6,17.0,83.0,21.0,13.0,2.7,4.3,12.0,80652.0,73.2,19.0,22.0,,96.0,34.0,14.0,99.7,20461.0
13233,Georgia,Polk,13661.0,4.9,5.9,22.0,112.0,23.0,15.0,3.3,5.0,23.0,56271.0,71.0,41.0,25.0,9.0,90.0,42.0,19.0,52.0,44223.0
13235,Georgia,Pulaski,10269.0,5.2,6.3,23.0,69.0,61.0,16.0,3.5,5.4,32.0,46123.0,75.2,,,,88.0,44.0,20.0,100.0,10095.0
13237,Georgia,Putnam,12213.0,4.5,5.4,20.0,107.0,40.0,16.0,3.8,4.8,25.0,59068.0,74.0,19.0,22.0,,90.0,42.0,17.0,100.0,23129.0
13239,Georgia,Quitman,,5.1,6.0,24.0,88.0,,17.0,5.2,5.1,41.0,42480.0,72.9,,,,,44.0,20.0,73.7,2280.0
13241,Georgia,Rabun,11891.0,4.4,5.5,17.0,116.0,70.0,20.0,3.0,4.6,22.0,60085.0,74.3,35.0,16.0,,93.0,37.0,16.0,100.0,17442.0
13243,Georgia,Randolph,17238.0,6.0,6.4,34.0,92.0,32.0,16.0,4.2,5.5,41.0,39926.0,71.3,,,,,49.0,26.0,100.0,6078.0
13245,Georgia,Richmond,14036.0,4.9,6.2,24.0,109.0,89.0,12.0,4.6,5.1,32.0,52073.0,71.4,43.0,23.0,17.0,72.0,44.0,19.0,8.3,205414.0
13247,Georgia,Rockdale,9532.0,4.3,5.6,21.0,79.0,70.0,15.0,3.7,3.7,19.0,76081.0,75.7,21.0,22.0,12.0,81.0,45.0,15.0,13.7,95987.0
13249,Georgia,Schley,11471.0,4.8,6.0,21.0,105.0,22.0,12.0,3.3,5.1,22.0,60750.0,75.4,,,,98.0,38.0,18.0,100.0,4526.0
13251,Georgia,Screven,15035.0,4.8,5.7,24.0,111.0,14.0,15.0,5.2,5.0,32.0,49034.0,70.9,26.0,30.0,16.0,78.0,42.0,21.0,100.0,14174.0
13253,Georgia,Seminole,13377.0,4.8,5.9,23.0,117.0,87.0,15.0,3.8,7.1,34.0,49423.0,72.7,,,,93.0,42.0,19.0,100.0,9092.0
13255,Georgia,Spalding,14238.0,4.9,5.6,23.0,94.0,41.0,15.0,3.6,5.0,28.0,56834.0,71.2,24.0,25.0,10.0,79.0,40.0,19.0,40.7,69946.0
13257,Georgia,Stephens,12943.0,4.8,6.0,21.0,118.0,67.0,14.0,3.6,4.5,22.0,50685.0,71.5,28.0,21.0,,94.0,38.0,18.0,55.9,27228.0
13259,Georgia,Stewart,13631.0,5.0,5.3,30.0,98.0,,17.0,3.3,6.1,37.0,41227.0,71.0,,,,,43.0,21.0,100.0,4674.0
13261,Georgia,Sumter,13125.0,5.0,6.0,25.0,78.0,51.0,14.0,4.5,4.4,45.0,43835.0,72.0,13.0,20.0,14.0,95.0,44.0,19.0,41.2,28890.0
13263,Georgia,Talbot,13334.0,5.0,6.0,26.0,100.0,35.0,14.0,3.3,4.8,45.0,41656.0,73.4,,,,,44.0,21.0,100.0,5718.0
13265,Georgia,Taliaferro,,4.8,5.6,24.0,127.0,0.0,11.0,3.8,4.0,40.0,46469.0,,,,,,43.0,20.0,100.0,1609.0
